date,1. open,2. high,3. low,4. close,5. volume,SMA,RSI,OBV,Real Upper Band,Real Middle Band,Real Lower Band,sentiment,relevance
2000-03-31,,,,,,0.9829,56.9759,9575068768.0,1.0966,0.9654,0.8343,,
2000-04-03,,,,,,0.9931,54.756,9246505240.0,1.0998,0.9683,0.8368,,
2000-04-04,,,,,,0.9991,49.7463,8586174980.0,1.0998,0.9699,0.84,,
2000-04-05,,,,,,1.0038,52.1582,9043841037.0,1.1005,0.9731,0.8456,,
2000-04-06,,,,,,1.0039,47.9669,8784213578.0,1.1,0.9742,0.8483,,
2000-04-07,,,,,,1.0086,53.0972,9026649020.0,1.1015,0.9764,0.8513,,
2000-04-10,,,,,,1.0032,47.8674,8814386408.0,1.1005,0.9778,0.8551,,
2000-04-11,,,,,,0.99,44.0212,8272563467.0,1.0958,0.9798,0.8637,,
2000-04-12,,,,,,0.9728,37.9955,7331426526.0,1.1046,0.9771,0.8496,,
2000-04-13,,,,,,0.9595,41.8326,7861254255.0,1.11,0.9742,0.8385,,
2000-04-14,,,,,,0.9447,40.6792,7193632788.0,1.1167,0.9693,0.8219,,
2000-04-17,,,,,,0.9365,49.8837,7603194797.0,1.1166,0.9696,0.8226,,
2000-04-18,,,,,,0.9316,51.8934,7994119987.0,1.1125,0.9666,0.8207,,
2000-04-19,,,,,,0.9292,47.9265,7473969067.0,1.096,0.958,0.8199,,
2000-04-20,,,,,,0.9201,46.4308,6751848345.0,1.0822,0.9495,0.8169,,
2000-04-24,,,,,,0.9132,47.7041,7195469588.0,1.07,0.9427,0.8154,,
2000-04-25,,,,,,0.9138,53.4173,7587111579.0,1.0571,0.9385,0.8199,,
2000-04-26,,,,,,0.9089,48.3218,7220199213.0,1.0407,0.9318,0.8229,,
2000-04-27,,,,,,0.9097,52.1425,7546802739.0,1.0301,0.9284,0.8266,,
2000-04-28,,,,,,0.9056,50.1674,7297221690.0,1.0293,0.9277,0.8262,,
2000-05-01,,,,,,0.9053,50.3556,7523417116.0,1.0162,0.9234,0.8307,,
2000-05-02,,,,,,0.9044,45.5799,7286984880.0,1.005,0.9176,0.8303,,
2000-05-03,,,,,,0.9075,43.6353,6797185991.0,1.0018,0.9131,0.8243,,
2000-05-04,,,,,,0.9059,40.7253,6397670392.0,0.9962,0.9057,0.8151,,
2000-05-05,,,,,,0.9065,43.0016,6681747476.0,0.9937,0.9012,0.8086,,
2000-05-08,,,,,,0.8992,40.9127,6496846492.0,0.9822,0.893,0.8039,,
2000-05-09,,,,,,0.8877,37.8258,6169705365.0,0.9829,0.8857,0.7886,,
2000-05-10,,,,,,0.876,34.1873,5634613630.0,0.9929,0.8782,0.7634,,
2000-05-11,,,,,,0.8674,37.8625,6134358129.0,0.9972,0.8757,0.7543,,
2000-05-12,,,,,,0.8605,42.6061,6441272035.0,0.9983,0.8734,0.7486,,
2000-05-15,,,,,,0.8459,38.2753,5762338557.0,1.0034,0.8694,0.7353,,
2000-05-16,,,,,,0.8375,42.7176,6202790197.0,0.9977,0.8625,0.7274,,
2000-05-17,,,,,,0.8239,39.8712,5804696999.0,0.9887,0.853,0.7172,,
2000-05-18,,,,,,0.8114,39.4647,5430919026.0,0.985,0.8453,0.7057,,
2000-05-19,,,,,,0.7952,35.2515,4690251086.0,0.9866,0.836,0.6854,,
2000-05-22,,,,,,0.7802,32.9714,3934743131.0,0.9873,0.8246,0.6619,,
2000-05-23,,,,,,0.7646,30.7897,3417157014.0,0.9767,0.8086,0.6406,,
2000-05-24,,,,,,0.7523,32.9642,4095620092.0,0.9696,0.796,0.6224,,
2000-05-25,,,,,,0.7384,32.7169,3688869286.0,0.9501,0.7812,0.6124,,
2000-05-26,,,,,,0.7257,32.1601,3507720305.0,0.931,0.7671,0.6032,,
2000-05-30,,,,,,0.7161,33.7651,4220780218.0,0.9053,0.7533,0.6013,,
2000-05-31,,,,,,0.7079,31.3737,3787272585.0,0.8893,0.7406,0.5919,,
2000-06-01,,,,,,0.7006,38.1576,4691113488.0,0.8716,0.7309,0.5902,,
2000-06-02,,,,,,0.6925,42.2856,5483962280.0,0.858,0.7241,0.5902,,
2000-06-05,,,,,,0.6873,41.2092,5160293157.0,0.838,0.7159,0.5939,,
2000-06-06,,,,,,0.6805,43.1541,5685775282.0,0.8208,0.7095,0.5981,,
2000-06-07,,,,,,0.6779,47.5721,6022794819.0,0.8114,0.7061,0.6009,,
2000-06-08,,,,,,0.6747,45.7559,5784268181.0,0.8083,0.7044,0.6006,,
2000-06-09,,,,,,0.6757,46.928,6036626833.0,0.8013,0.7018,0.6023,,
2000-06-12,,,,,,0.6763,42.1679,5746288943.0,0.7829,0.6956,0.6084,,
2000-06-13,,,,,,0.681,46.4166,6097745294.0,0.776,0.6932,0.6104,,
2000-06-14,,,,,,0.6824,42.3106,5820298617.0,0.7568,0.6875,0.6182,,
2000-06-15,,,,,,0.6852,44.8099,6068871665.0,0.745,0.6841,0.6232,,
2000-06-16,,,,,,0.6878,43.5672,5765306562.0,0.7319,0.6805,0.6291,,
2000-06-19,,,,,,0.6926,50.3863,6159311756.0,0.7354,0.6815,0.6276,,
2000-06-20,,,,,,0.7019,55.3416,6660702657.0,0.7492,0.6857,0.6223,,
2000-06-21,,,,,,0.7137,63.7672,6905702902.0,0.7831,0.6953,0.6075,,
2000-06-22,,,,,,0.7217,59.2456,6437990435.0,0.801,0.7027,0.6044,,
